,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Lithuania,3.3934264,3.636367,3.6879485,3.7171066,3.935687,4.184092,4.353276,4.8024497,4.6765285,4.065658,4.465954,4.6196947,4.712947,4.4551187,4.3927965,4.50427,4.5852475,4.7078495,4.8065176,4.9040985,4.8511734,4.9565754,4.5640817,4.366231
Luxembourg,19.95321,20.838781,22.354094,23.129694,25.78923,25.950777,25.183908,23.538471,22.841446,21.327303,22.062008,21.398838,20.466053,19.018114,17.64577,16.408415,15.578775,15.528514,15.732882,15.740566,12.805207,13.151482,11.138139,10.514379
Malta,6.1718483,6.794043,6.77371,7.2527485,6.9353848,6.41086,6.391137,6.5381436,6.494972,6.085418,6.1969185,6.1418824,6.4434643,5.670233,5.5630226,3.81896,3.0214925,3.284596,3.1934233,3.2712705,3.08829,3.0719054,3.3579102,3.419049
Netherlands,10.706685,10.952857,10.837716,10.995616,11.073733,10.806177,10.49392,10.454858,10.586404,10.2033415,10.869137,10.038631,9.78854,9.710435,9.239077,9.571471,9.567614,9.3603325,9.071789,8.691219,7.7491727,7.8781276,7.10668,6.5589724
Poland,8.297652,8.196662,8.007525,8.348735,8.483548,8.466197,8.840739,8.835365,8.673716,8.316444,8.773312,8.731046,8.52221,8.41436,8.090823,8.173148,8.456021,8.803221,8.78818,8.311772,7.9231005,8.700756,8.207275,7.462856
Portugal,6.384843,6.295636,6.6822248,6.167999,6.4211054,6.630443,6.162588,5.9145584,5.6805115,5.4033084,4.999665,4.905115,4.749465,4.6036406,4.607091,5.0368085,4.8626604,5.3398542,4.9722576,4.600417,4.0247025,3.8768437,3.905804,3.5690808
Romania,4.233971,4.516048,4.56125,4.8086905,4.826893,4.7783,4.959283,5.1934767,5.160895,4.2633147,4.1251655,4.5479074,4.4468846,3.9175677,3.960933,3.9156427,3.8586235,4.0203447,4.0636635,3.9205666,3.8009691,4.0144315,3.8082967,3.569294
Russia,10.081548,10.372811,10.324744,10.542381,10.63477,10.80636,11.262795,11.2872505,11.487681,10.739165,11.343935,11.704149,11.790535,11.344335,11.315866,11.277285,11.214844,11.397207,11.694958,11.63581,11.156076,11.739155,12.379388,12.485688
Slovakia,7.6564655,8.045313,7.827769,7.8912315,7.9836044,7.983702,7.951,7.65373,7.7244925,7.0193143,7.133364,7.048009,6.653868,6.5841923,6.224691,6.3701873,6.4420705,6.653548,6.6430893,6.206868,5.711102,6.4702377,5.764503,5.570649
Slovenia,7.5768623,8.193637,8.317391,8.16639,8.379319,8.4809065,8.575689,8.610527,9.025999,7.960316,8.050296,7.98455,7.67516,7.356487,6.5882893,6.624193,7.0139294,7.0871863,7.0161786,6.7385993,6.114342,6.1788087,6.0046854,5.3476286
South Africa,8.021823,7.8126745,7.4245625,8.338284,9.171136,8.409798,8.935709,9.203596,9.678217,9.173338,8.845317,8.791509,8.533717,8.388016,8.489366,7.868855,7.982774,7.6341534,7.4144187,7.7887297,7.167264,6.9252014,6.4976277,6.357822
Spain,7.559076,7.5598083,7.9498143,7.912489,8.165029,8.379167,8.046778,8.07181,7.264811,6.3578906,6.0404696,6.038563,5.91389,5.3764324,5.4405007,5.7994614,5.555522,5.8371677,5.703416,5.2829227,4.443056,4.7987046,4.906229,4.625513
Sweden,6.1913238,6.2766924,6.3512735,6.395337,6.283979,5.9664083,5.917859,5.792772,5.5170217,5.080081,5.6641645,5.20788,4.9069877,4.708208,4.4833674,4.430657,4.3749266,4.219428,4.1333485,3.9724762,3.5448763,3.7090235,3.573302,3.46456
United Arab Emirates,32.005272,27.236565,21.393164,25.389149,25.220917,24.52399,24.296766,23.668098,24.383879,25.050198,26.640587,27.44286,27.662909,27.239424,25.492605,26.016518,25.092228,23.056704,22.435556,23.435602,23.006712,22.08913,22.063599,21.554382
