,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,26225.16977,26955.7128,29446.53309,35896.75046,40611.34144,42165.39617,45123.54324,52100.79963,58246.70269,53172.02616,51305.73385,54701.7728,50473.9442,52602.28605,53457.22349,45793.81354,46808.52915,49513.68173,53955.077,53554.90075,53467.92774,60141.98809,59123.31856,64572.00596
Poland,4520.641004,5015.2379,5223.45179,5720.813662,6711.727153,8043.923323,9068.855283,11272.52937,14048.56047,11556.30269,12567.73177,13867.66694,13087.42094,13621.90238,14262.28419,12637.52203,12464.01105,13913.34029,15658.21203,15874.52205,15987.57537,18635.51049,18891.21212,22056.66617
Portugal,11526.37207,11734.76497,12936.69282,15797.78213,18064.15809,18780.12751,19839.45405,22811.05648,24949.04136,23151.21541,22551.9351,23246.54254,20593.42742,21676.48596,22120.68501,19215.7813,19980.28089,21442.38428,23541.14011,23343.3629,22299.40441,24711.45101,24620.51956,27331.20949
Romania,1659.929049,1825.192994,2119.855097,2679.40626,3494.990564,4618.003508,5757.531273,8360.337759,10435.15612,8548.454341,8399.537423,9560.675528,8929.953662,9497.674116,10031.77108,8977.017482,9404.540059,10727.9822,12502.26241,12992.03261,13082.30066,14986.78549,15557.88262,18404.27309
Russia,1771.594116,2100.352539,2377.529541,2975.123047,4102.364746,5323.455078,6920.199707,9101.239258,11635.28418,8562.824219,10674.99023,14305.33203,15401.85156,15941.44824,14055.47266,9277.713867,8663.158203,10658.91309,11211.8877,11447.70117,10108.32715,12521.52246,15445.24219,13817.0459
Slovakia,5421.644844,5712.478028,6554.628084,8675.396337,10650.12901,11641.54103,13167.89547,16110.48173,18744.31923,16586.75278,16899.44868,18469.43543,17516.96911,18312.78051,18770.92899,16442.07609,16636.07691,17645.52987,19573.3717,19406.05897,19735.48583,22138.19498,21342.76667,24491.37719
Slovenia,10135.72191,10375.62559,11639.12978,14711.67487,17103.82978,17969.70959,19563.00506,23725.1596,27461.97642,24501.78973,23329.84177,24940.62848,22442.14179,23236.96553,24013.06821,20697.27485,21447.83778,23303.07771,25888.04811,25814.16872,25392.06511,29187.36938,28373.83823,32610.11092
South Africa,3217.846934,2847.151919,2688.23676,4062.21756,5221.463337,5836.876633,6077.382934,6591.85536,6184.754743,6374.7056,7973.471958,8646.055711,8076.976785,7331.654674,6856.731371,6112.273825,5651.205852,6618.335083,6914.178032,6533.71121,5580.603831,6843.399419,6523.410978,6022.542542
Spain,14743.2671,15368.2338,17111.06851,21522.0171,24925.02678,26450.95301,28421.68653,32652.01559,35603.24833,32279.82085,30658.74223,31824.62191,28456.44382,29218.91052,29694.88749,25969.83831,26740.68518,28367.93926,30592.12648,29776.20115,27230.35999,30817.68286,30287.36576,33509.0128
Sweden,29632.77361,27259.48067,29957.93877,37292.42143,42758.20155,43378.61521,46531.60011,53568.56455,55817.43927,46707.86732,52542.82741,60379.77482,57749.82513,60844.27671,59583.714,51197.95293,51820.39725,53300.85873,54181.90698,51773.04646,52653.75659,61174.96802,55296.93715,55516.83648
United Arab Emirates,29865.50235,27745.17081,27753.60895,29659.54286,33376.71523,38719.31383,44342.60483,45854.73252,50054.17007,37803.06637,43696.67126,50789.05054,52034.47625,52023.5171,51381.40699,43534.99727,41326.40182,42340.59171,45689.857,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475
