,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Netherlands,92.164444,92.08813,91.66315,91.64135,90.863556,88.369026,88.17679,88.62847,87.10103,86.57766,87.16342,85.38708,83.983574,85.093475,84.58374,83.695755,83.55563,82.04929,80.20336,77.75094,69.80978,63.448166,56.293648,48.89071
Poland,98.37269,98.06568,98.056,98.5001,97.90219,97.520775,97.33043,96.57456,95.72168,94.23969,93.05989,91.93836,89.5467,89.58359,87.46448,86.189896,86.25903,85.79836,87.23957,84.40141,82.03628,82.907326,78.91907,72.85333
Portugal,70.21523,65.82718,78.63886,61.845226,72.448524,82.069115,67.52066,65.29651,67.71063,62.960712,46.98953,53.437622,57.37236,41.469715,39.054054,52.366055,45.300594,60.7918,49.59726,46.879845,41.408836,35.920357,40.379635,27.1836
Romania,60.744762,61.960785,60.382214,66.86725,60.93501,56.56498,61.652813,61.468483,56.13629,52.595936,47.16981,54.57929,54.90263,45.402992,40.234135,42.38501,40.423542,43.65754,41.36101,38.886997,34.649517,35.758198,36.611225,29.744137
Russia,66.40653,65.1127,65.89399,66.561905,65.57071,66.19678,66.7127,66.8607,68.426926,65.936966,67.49292,68.094345,68.063255,66.5606,66.64443,65.86295,64.95871,64.30437,64.24599,63.760998,60.184994,61.74562,63.25347,63.964264
Slovakia,31.448992,30.295414,27.377254,30.794062,30.531845,28.493937,26.976,27.253141,25.8885,26.7258,25.273125,27.828854,25.936396,22.526316,19.867306,20.36063,20.149254,21.152443,22.543137,22.26161,21.816906,24.242424,18.085909,15.18731
Slovenia,36.370316,36.947514,38.767124,40.057846,36.673214,37.458637,38.782265,39.62766,35.52712,35.082367,35.97786,36.55779,36.59164,34.113922,24.373177,32.432434,33.579792,33.14642,31.761786,31.65513,29.36649,28.479794,27.54491,24.17871
South Africa,93.06973,93.874344,93.40798,94.05712,93.97817,94.6597,94.732285,94.44002,94.28549,94.085594,94.1718,93.71905,94.362816,93.76512,92.8992,92.36821,90.729836,89.578766,90.60197,89.72562,90.01503,87.62638,85.98299,83.47274
Spain,56.2285,51.51242,59.905796,54.28294,58.880737,65.518555,62.014954,62.43292,60.902546,56.37039,46.353256,50.17836,49.50161,40.261494,38.941116,44.33741,39.689693,46.409428,41.179073,41.098625,33.67634,32.66482,36.90572,28.867472
Sweden,3.2844455,3.8180692,5.0715747,6.8247285,3.8862498,3.0058098,3.6571748,2.9700308,3.0687127,3.3821375,5.7460427,3.8062284,2.457342,2.5354507,1.908049,1.9444444,2.3478093,2.1128905,2.2404506,1.989075,1.4898034,1.7813482,1.6808178,1.7492186
United Arab Emirates,100,100.00001,100,100,100,100,100,100,100,99.988335,99.978714,99.97983,99.98117,99.918175,99.73399,99.76449,99.7531,99.44267,99.117714,97.35644,95.04006,88.72634,82.506134,72.06202
